Name,Reviews,Contact,Website,Location
Anchor Oyster Bar,1598 reviews,(415) 431-3990,http://www.anchoroysterbar.com,"579 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Pearl 6101,373 reviews,(415) 592-9777,http://www.pearl-sf.com,"6101 California St,San Francisco, CA 94121,24th Ave & 23rd Ave,Outer Richmond"
Jamie's place,226 reviews,(415) 803-1888,,"1380 9th Ave,San Francisco, CA 94122,Irving St & Judah St,Inner Sunset"
Nopa,5267 reviews,(415) 864-8643,http://www.nopasf.com,"560 Divisadero St,San Francisco, CA 94117,Fell St & Hayes St,Alamo Square"
Souvla,8 reviews,(415) 400-5458,http://www.souvla.com,"2505 3rd St,San Francisco, CA 94107,23rd St & 22nd St,Dogpatch, Potrero Hill"
Tanglad,199 reviews,(415) 624-3238,https://tangladsf.com,"469 Castro St,San Francisco, CA 94114,18th St & 17th St,Castro"
Lavash,1514 reviews,(415) 664-5555,http://www.lavashsf.com,"511 Irving St,San Francisco, CA 94122,7th Ave & 6th Ave,Inner Sunset"
Blind Butcher,182 reviews,(415) 529-2478,https://blindbutcher.com,"4058 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Pizzetta 211,1408 reviews,(415) 379-9880,http://www.pizzetta211.com,"211 23rd Ave,San Francisco, CA 94121,Outer Richmond"
The Tailor's Son,267 reviews,(415) 673-7200,http://www.thetailorssonsf.com,"2049 Fillmore St,San Francisco, CA 94115,Pine St & California St,Lower Pacific Heights"
Beretta,301 reviews,(415) 654-5211,http://berettasf.com,"661 Divisadero St,San Francisco, CA 94117,Grove St & Hayes St,NoPa"
California Fish Market Restaurant,445 reviews,(415) 757-0918,http://www.cafishmarketrestaur…,"550 Green St,San Francisco, CA 94133,Columbus Ave & Stockton St,North Beach/Telegraph Hill"
The Palm Court at RH San Francisco,163 reviews,(415) 865-0407,https://rh.com,"590 20th St,San Francisco, CA 94107,Michigan St & Illinois St,Dogpatch, Potrero Hill"
Fable,719 reviews,(415) 590-2404,http://www.fablesf.com/,"558 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Cha Cha Cha,3358 reviews,(415) 386-7670,http://www.chachachasf.com,"1801 Haight St,San Francisco, CA 94117,Shrader St & Stanyan St,The Haight"
Routier,99 reviews,(415) 766-9997,http://routiersf.com,"2801 California St,San Francisco, CA 94115,Divisadero St & Broderick St,Lower Pacific Heights"
Hook Fish,837 reviews,,http://www.hookfishco.com,"4542 Irving St,San Francisco, CA 94122,46th Ave & 47th Ave,Outer Sunset"
HOT JOHNNIE’S,287 reviews,(415) 624-3171,https://hotjohnnies.com,"4077 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Square Pie Guys,49 reviews,(415) 890-2335,http://www.squarepieguys.com,"845 Beach St,San Francisco, CA 94109,Larkin St & Hyde St,Russian Hill, Fisherman's Wharf"
Mokuku,316 reviews,(415) 702-6128,http://www.mokukushabu.com,"332 Clement St,San Francisco, CA 94103,Inner Richmond"
Mr. Digby's Bar & Restaurant,108 reviews,(415) 896-4973,http://www.mrdigbys.com,"1199 Church St,San Francisco, CA 94114,Elizabeth St & 24th St,Noe Valley"
Dumpling Kitchen,1914 reviews,(415) 682-8938,https://dumplingkitchenca.com,"1935 Taraval St,San Francisco, CA 94116,30th Ave & 29th Ave,Parkside"
Kuker,6 reviews,,https://www.kukersf.com,"900 Avenue D,San Francisco, CA 94130"
Hu Tong Jian Bing,34 reviews,(415) 529-2015,https://hutongjianbing.wixsite…,"2291 3rd St,San Francisco, CA 94107,19th St & 20th St,Dogpatch, Potrero Hill"
Lark,311 reviews,(415) 400-4623,http://www.larksf.com/,"4068 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Limoncello,1444 reviews,(415) 638-6361,http://www.limoncellostogo.com,"1400 Sutter St,San Francisco, CA 94109,Sutter & Franklin ,Lower Pacific Heights"
Bottega,308 reviews,(415) 655-9048,https://www.bottegavalencia.co…,"1132 Valencia St,San Francisco, CA 94110,23rd St & 22nd St,Mission"
The Italian Homemade Company,1104 reviews,(415) 655-9325,http://www.italianhomemadecomp…,"1919 Union St,San Francisco, CA 94123,Laguna St & Charlton Ct,Marina/Cow Hollow"
Souvla,529 reviews,(415) 400-5458,http://www.souvlasf.com,"531 Divisadero St,San Francisco, CA 94117,Fell St & Hayes St,NoPa"
Lokma,515 reviews,(415) 702-6263,http://www.lokmasf.com,"1801 Clement St,San Francisco, CA 94121,19th Ave & 20th Ave,Outer Richmond"
ILCHA,68 reviews,(415) 613-9288,http://www.ilchasf.com,"2151 Lombard St,San Francisco, CA 94123,United States Highway 101 & Fillmore St,Marina/Cow Hollow"
Bella Trattoria,1673 reviews,(415) 221-0305,https://osteriabella.com,"3854 Geary Blvd,San Francisco, CA 94118,4th Ave & 2nd Ave,Inner Richmond"
Udon Mugizo,1211 reviews,(415) 931-3118,http://mugizo-us.com,"1581 Webster St,Ste 217,San Francisco, CA 94115,Post St & Geary Blvd,Lower Pacific Heights, Japantown"
Caliente Bistro Kitchen,131 reviews,(415) 379-6250,https://calientebistro.com,"4828 Geary Blvd,San Francisco, CA 94118,Funston Ave & 12th Ave,Inner Richmond"
MaMo,186 reviews,(628) 267-2640,http://mamosf.com,"3659 Buchanan St,San Francisco, CA 94123,Marina/Cow Hollow"
Poesia,848 reviews,(415) 252-9325,http://poesiasf.com/,"4072 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Otra,105 reviews,(415) 500-2774,https://www.otrasf.com,"682 Haight St,San Francisco, CA 94117,Steiner St & Pierce St,Lower Haight"
Mezze and Mooore,19 reviews,(415) 654-5089,,"198 Guerrero St,San Francisco, CA 94103,Brosnan St & 14th St,Mission"
Il Casaro Pizzeria & Mozzarella Bar -  Castro,203 reviews,(628) 900-5977,https://www.ilcasaropizzeria.c…,"235 Church St,San Francisco, CA 94114,15th St & Market St,Castro"
Brenda's Meat & Three,1348 reviews,(415) 926-8657,http://www.brendasmeatandthree…,"919 Divisadero St,San Francisco, CA 94115,Mcallister St & Golden Gate Ave,NoPa"
SPIN - San Francisco,310 reviews,(415) 636-5995,https://wearespin.com,"690 Folsom St,Ste 100,San Francisco, CA 94107,Hampton Pl & 3rd St,SoMa, Financial District"
Billingsgate,58 reviews,(415) 590-3001,https://www.billingsgatesf.com,"3859 24th St,San Francisco, CA 94114,Sanchez St & Vicksburg St,Noe Valley"
Poesia Café,3 reviews,,,"4076 18th St,San Francisco, CA 94114,Hartford St & Castro St,Castro"
Perilla,1469 reviews,(415) 564-9980,https://perillasftogo.cuteorde…,"836 Irving St,San Francisco, CA 94122,10th Ave & 9th Ave,Inner Sunset"
Suppenküche,3251 reviews,(415) 252-9289,http://www.suppenkuche.com,"525 Laguna St,San Francisco, CA 94102,Linden St & Fell St,Hayes Valley"
Troya,676 reviews,(415) 563-1000,https://www.troyasf.com,"2125 Fillmore St,San Francisco, CA 94115,California St & Sacramento St,Pacific Heights"
Dabao Singapore,70 reviews,,http://www.dabaosingapore.com,"1661 Tennessee St,Ste 2k,San Francisco, CA 94107,Cesar Chavez St & 26th St,Potrero Hill"
Zazie,4892 reviews,(415) 564-5332,http://www.zaziesf.com/,"941 Cole St,San Francisco, CA 94117,Parnassus Ave & Carl St,Cole Valley"
San Tung,7591 reviews,(415) 242-0828,https://www.santungsf.com,"1031 Irving St,San Francisco, CA 94122,12th Ave & 11th Ave,Inner Sunset"
Frances,1522 reviews,(415) 621-3870,http://www.frances-sf.com/,"3870 17th St,San Francisco, CA 94114,Pond St & Noe St,Castro"
Komaaj,176 reviews,(415) 598-8286,http://www.komaaj.com,"3359 26th St,San Francisco, CA 94110,Capp St & Lilac St,Mission"
Mamahuhu,264 reviews,(415) 742-4958,https://www.eatmamahuhu.com,"517 Clement St,San Francisco, CA 94118,7th Ave & 6th Ave,Inner Richmond"
San Ho Won,196 reviews,(415) 868-4479,https://sanhowon.com,"2170 Bryant St,San Francisco, CA 94110,19th St & 20th St,Mission"
Taksim,52 reviews,(415) 757-0989,http://www.taksimsf.com,"564 4th St,San Francisco, CA 94107,Welsh St & Freelon St,Mission Bay"
Padrecito,1041 reviews,(415) 742-5505,http://www.padrecitosf.com,"901 Cole St,San Francisco, CA 94117,Parnassus Ave & Carl St,Cole Valley"
Presidio Kebab,243 reviews,(415) 947-7163,http://presidiokebab.com,"3277 Sacramento St,San Francisco, CA 94115,Lyon St & Presidio Ave,Presidio Heights, Pacific Heights"
Unco Frank’s,62 reviews,(510) 279-8642,,"443 Clement St,San Francisco, CA 94118,6th Ave & 5th Ave,Inner Richmond"
Cote Ouest Bistro,121 reviews,(415) 896-4709,https://www.coteouestbistro.co…,"2953 Baker St,San Francisco, CA 94123,Lombard St & Greenwich St,Marina/Cow Hollow"
Mangrove Kitchen,346 reviews,(415) 552-6881,http://www.mangrovethaikitchen…,"312 Divisadero St,San Francisco, CA 94117,Oak St & Page St,Lower Haight"
Che Fico Alimentari,145 reviews,(415) 416-6980,https://www.cheficoalimentari.…,"834 Divisadero St,San Francisco, CA 94117,Mcallister St & Fulton St,Alamo Square"
Hodala,639 reviews,(415) 702-9510,,"5801 Geary Blvd,San Francisco, CA 94121,23rd Ave & 22nd Ave,Outer Richmond"
Noodle in a Haystack,54 reviews,,http://www.noodleinhaystack.co…,"4601 Geary Blvd,San Francisco, CA 94118,11th Ave & 10th Ave,Inner Richmond"
Krua Thai,145 reviews,(415) 872-6988,https://www.kruathaisf.com,"525 Valencia St,San Francisco, CA 94110,17th St & 16th St,Mission"
Souvla,1606 reviews,(415) 400-5458,http://www.souvla.com,"517 Hayes St,San Francisco, CA 94102,Octavia St & Laguna St,Hayes Valley"
Ocean Indian Cuisine,230 reviews,(415) 751-4433,http://www.oceanindiancuisine.…,"6127 Geary Blvd,San Francisco, CA 94121,26th Ave & 25th Ave,Outer Richmond"
Vico Cavone,106 reviews,(415) 226-7800,http://vicocavone.com,"4248 18th St,San Francisco, CA 94114,Diamond St & Collingwood St,Castro"
Cafe De Casa,120 reviews,(415) 829-7915,http://www.cafedecasa.com,"3985 17th St,San Francisco, CA 94114,Hartford St & Market St,Castro"
Surisan,2782 reviews,(415) 771-8449,https://www.surisansf.com,"505 Beach St,San Francisco, CA 94133,Fisherman's Wharf, North Beach/Telegraph Hill"
DragonEats,276 reviews,(415) 522-6689,,"1671 Haight St,San Francisco, CA 94117,Cole St & Belvedere St,The Haight"
Chome,159 reviews,(415) 757-0922,,"2193 Mission St,San Francisco, CA 94110,Sycamore St & 18th St,Mission"
The View Lounge,1881 reviews,(415) 896-1600,https://www.marriott.com/hotel…,"780 Mission St,San Francisco, CA 94103,Opera Aly & 4th St,Union Square, SoMa, Financial District"
Kitchen Story,3798 reviews,(415) 525-4905,http://kitchenstorysf.com,"3499 16th St,San Francisco, CA 94114,Dehon St & Sanchez St,Castro"
Bansang,106 reviews,(415) 697-5879,https://www.bansangsf.com,"1560 Fillmore St,San Francisco, CA 94115,Ofarrell St & Geary Blvd,Western Addition, Fillmore"
Jane on Fillmore,1096 reviews,(415) 931-5263,http://www.itsjane.com,"2123 Fillmore St,San Francisco, CA 94115,California St & Sacramento St,Pacific Heights"
Purple Rice,208 reviews,(415) 932-6257,,"509 Haight St,San Francisco, CA 94117,Steiner St & Fillmore St,Lower Haight"
Malasa,173 reviews,(415) 682-9980,http://www.malasasf.com,"1336 9th Ave,San Francisco, CA 94122,Irving St & Judah St,Inner Sunset"
Hinodeya Ramen Bar,1636 reviews,(415) 216-5011,http://hinodeyaramen.com,"1737 Buchanan St,San Francisco, CA 94115,Post St & Sutter St,Japantown, Lower Pacific Heights"
Copas,76 reviews,(415) 829-2614,http://www.copasonmarket.com,"2223 Market St,San Francisco, CA 94114,Sanchez St & 15th St,Castro"
Heroic Italian,97 reviews,(650) 224-5999,https://heroicitalian.com,"572 Castro St,Swirl on Castro Wine Bar,San Francisco, CA 94114,Castro"
Sweet Maple,4367 reviews,(415) 655-9169,http://www.sweetmaplesf.com,"2101 Sutter St,San Francisco, CA 94115,Steiner St & Pierce St,Lower Pacific Heights"
The Pawn Shop,430 reviews,(415) 874-8041,https://thepawnshopsf.com,"993 Mission St,San Francisco, CA 94103,6th St & Mary St,SoMa"
Dumpling Home,612 reviews,(415) 503-1666,http://dumplinghome.com,"298 Gough St,San Francisco, CA 94102,Fell St & Hickory St,Hayes Valley"
Ben Thai Cafe,740 reviews,(415) 771-2562,http://benthaicafe.com,"1331 Polk St,San Francisco, CA 94109,Austin St & Pine St,Lower Nob Hill, Nob Hill"
Tratto,626 reviews,(415) 292-8151,http://tratto-sf.com,"501 Geary St,San Francisco, CA 94102,Taylor St & Shannon St,Tenderloin"
KAIYŌ Cow Hollow,557 reviews,(415) 525-4804,http://www.kaiyosf.com,"1838 Union St,San Francisco, CA 94123,Octavia St & Laguna St,Marina/Cow Hollow"
State Bird Provisions,2972 reviews,(415) 795-1272,https://statebirdsf.com/home/,"1529 Fillmore St,San Francisco, CA 94115,Ofarrell St & Geary Blvd,Western Addition"
The Soup,15 reviews,(415) 463-6099,,"2315 Irving St,San Francisco, CA 94122,25th Ave & 24th Ave,Outer Sunset"
Picaro,1803 reviews,(415) 431-4089,https://picarocafe.com,"3120 16th St,San Francisco, CA 94103,Mission"
Daeho Kalbijjim & Beef Soup,1436 reviews,(415) 563-1388,,"1620 Post St,San Francisco, CA 94115,Laguna St & Buchanan St,Japantown, Lower Pacific Heights"
Brenda's French Soul Food,11679 reviews,(415) 345-8100,http://frenchsoulfood.com,"652 Polk St,San Francisco, CA 94102,Turk St & Eddy St,Tenderloin"
Castro Tarts,310 reviews,(415) 861-3268,https://castrotarts.squarespac…,"564 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Moku Yakitori-Ya,52 reviews,,,"312 8th Ave,San Francisco, CA 94118,Geary Blvd & Clement St,Inner Richmond"
Noosh,544 reviews,(415) 231-5985,http://www.nooshsf.com,"2001 Fillmore St,San Francisco, CA 94115,California St & Pine St,Lower Pacific Heights"
Flores,827 reviews,(415) 796-2926,https://www.floressf.com,"2030 Union St,San Francisco, CA 94123,Webster St & Buchanan St,Marina/Cow Hollow"
Sunset Cantina,271 reviews,(415) 571-8874,https://sunsetcantinasf.com,"3414 Judah St,San Francisco, CA 94122,39th Ave & 40th Ave,Outer Sunset"
Bonita Taqueria Y Rotisserie,71 reviews,(415) 552-2125,http://sfbonita.com,"3600 16th St,San Francisco, CA 94114,Noe St & Castro St,Duboce Triangle"
Q's Sandwich Shop,28 reviews,(415) 757-0112,https://qs-sandwich-shop.squar…,"258 Divisadero St,San Francisco, CA 94117,Page St & Haight St,Lower Haight"
Flour & Water Pasta Shop,38 reviews,,https://flourandwaterpastashop…,"3000 20th St,San Francisco, CA 94110,Alabama St & Florida St,Mission"
Delarosa,1788 reviews,(415) 673-7100,http://www.delarosasf.com,"2175 Chestnut St,San Francisco, CA 94123,Steiner St & Pierce St,Marina/Cow Hollow"
Wasabi Bistro,523 reviews,(415) 701-0082,http://www.wasabisf.com,"524 Castro St,San Francisco, CA 94114,19th St & 18th St,Castro"
Dumpling Baby China Bistro,152 reviews,(415) 592-8232,https://dumplingbabysf.com,"3751 Geary Blvd,San Francisco, CA 94118,2nd Ave & Arguello Blvd,Inner Richmond"
Beretta,3982 reviews,(415) 695-1199,http://berettasf.com,"1199 Valencia St,San Francisco, CA 94110,22nd St & 23rd St,Mission"
Willkommen,172 reviews,(415) 766-9225,http://willkommen.beer,"2198 Market St,San Francisco, CA 94114,Sanchez St & 15th St,Duboce Triangle"
The Italian Homemade Company,1768 reviews,(415) 712-8874,http://www.italianhomemadecomp…,"716 Columbus Ave,San Francisco, CA 94133,Scotland St & Greenwich St,Russian Hill, North Beach/Telegraph Hill"
Super Duper Burgers,1398 reviews,(415) 558-8123,https://www.superduperburgers.…,"2304 Market St,San Francisco, CA 94114,Duboce Triangle"
NOVY Restaurant,490 reviews,(415) 829-8383,http://www.novysf.com,"4000 24th St,San Francisco, CA 94114,Noe Valley"
L’Ardoise Bistro,1362 reviews,(415) 437-2600,http://www.ardoisesf.com,"151 Noe St,San Francisco, CA 94114,15th St & Henry St,Duboce Triangle"
Sorella,70 reviews,(415) 359-1212,http://www.sorellasf.com,"1760 Polk St,San Francisco, CA 94109,Washington St & Clay St,Nob Hill"
Berliner Berliner,62 reviews,(415) 795-1457,https://berlinerberliner.com,"545 Haight St,San Francisco, CA 94117,Steiner St & Fillmore St,Lower Haight"
Wooden Spoon,518 reviews,(415) 946-3005,http://www.woodenspoonsf.com,"2172 Market St,San Francisco, CA 94114,Sanchez St & 15th St,Duboce Triangle"
The Korner Store,57 reviews,,,"736 Valencia St,San Francisco, CA 94110,19th St & 18th St,Mission"
LaLe,556 reviews,(415) 566-8814,http://www.lalesf.com,"731 Irving St,San Francisco, CA 94122,9th Ave & 8th Ave,Inner Sunset"
Good Good Culture Club,145 reviews,,http://ggccsf.com,"3560 18th St,San Francisco, CA 94110,Linda St & Dearborn St,Mission"
Arang,15 reviews,(415) 775-9095,,"1506 Fillmore St,San Francisco, CA 94115,Ofarrell St & Geary Blvd,Western Addition, Fillmore"
opa cafe,437 reviews,(415) 913-7745,https://www.opasf.com,"2401 Post St,San Francisco, CA 94115,Baker St & Broderick St,Lower Pacific Heights"
Pizzeria Delfina - Pacific Heights,1516 reviews,(415) 440-1189,https://www.pizzeriadelfina.co…,"2406 California St,San Francisco, CA 94115,Pacific Heights"
MaMa Ji's,848 reviews,(415) 626-4416,http://www.mamajissf.com,"4416 18th St,San Francisco, CA 94114,Douglass St & Eureka St,Castro"
Ragazza,713 reviews,(415) 255-1133,http://www.ragazzasf.com,"311 Divisadero St,San Francisco, CA 94117,Oak St & Page St,Lower Haight"
Hog Island Oyster,6592 reviews,(415) 391-7117,http://www.hogislandoysters.co…,"1 Ferry Bldg,Shop 11,San Francisco, CA 94111,Embarcadero, SoMa"
Roma Antica,1081 reviews,(415) 896-4281,https://www.romaSF.com,"3242 Scott St,San Francisco, CA 94123,Chestnut St & Lombard St,Marina/Cow Hollow"
Mamanoko,422 reviews,(415) 346-8494,http://www.mamanokosf.com,"2317 Chestnut St,San Francisco, CA 94123,Divisadero St & Scott St,Marina/Cow Hollow"
Hazie's,22 reviews,,http://www.haziessf.com,"501 Hayes St,San Francisco, CA 94102,Octavia St & Laguna St,Hayes Valley"
Original Joe's,1792 reviews,(415) 775-4877,https://originaljoes.com,"601 Union St,San Francisco, CA 94133,Columbus Ave & Stockton St,North Beach/Telegraph Hill"
Palm House,1134 reviews,(415) 749-9959,https://www.palmhousesf.com,"2032 Union St,San Francisco, CA 94123,Webster St & Buchanan St,Marina/Cow Hollow"
Freekeh,77 reviews,(415) 553-8966,http://freekehsf.com,"3126 16th St,San Francisco, CA 94103,Valencia St,Mission"
Birba,163 reviews,(415) 549-7612,http://www.birbawine.com,"458 Grove St,San Francisco, CA 94102,Octavia St & Gough St,Hayes Valley"
The Little Chihuahua,1558 reviews,(415) 255-8225,http://thelittlechihuahua.com,"292 Divisadero St,San Francisco, CA 94117,Haight St & Page St,Lower Haight"
Besharam,326 reviews,(415) 580-7662,https://www.besharamrestaurant…,"1275 Minnesota St,San Francisco, CA 94107,24th St & 23rd St,Potrero Hill"
Abrazo,139 reviews,(415) 872-9239,http://Abrazosf.com,"2000 Hyde St,San Francisco, CA 94109,Union St & Allen St,Russian Hill"
Tacorgasmico,318 reviews,(415) 565-0655,https://tacorgasmicosf.com,"2337 Market St,San Francisco, CA 94114,Noe St & Castro St,Castro"
Village Rotisserie,76 reviews,(415) 660-7852,http://www.villagerotisserie.c…,"4063 24th St,San Francisco, CA 94114,Noe St & Castro St,Noe Valley"
Bodega,148 reviews,(415) 655-9341,http://Bodegarestaurants.com,"138 Mason St,San Francisco, CA 94102,Ellis St & Eddy St,Union Square"
Lime Tree Southeast Asian Kitchen,1545 reviews,(415) 665-1415,http://limetreesoutheastasiank…,"450 Irving St,San Francisco, CA 94122,6th Ave & 5th Ave,Inner Sunset"
Barbara Pinseria & Cocktail Bar,289 reviews,(415) 445-3009,http://sfbarbara.com,"431 Columbus Ave,San Francisco, CA 94133,Vallejo St & Green St,North Beach/Telegraph Hill, Russian Hill"
YH-Beijing,222 reviews,(415) 355-9125,http://YH-Beijing.com,"500 Haight St,San Francisco, CA 94117,Steiner St & Fillmore St,Lower Haight"
The House of Hummus,81 reviews,(415) 374-7803,https://the-house-of-hummus.my…,"5 Masonic Ave,San Francisco, CA 94118,Presidio Ave & Pine St,Laurel Heights, Inner Richmond"
Kitchen Woori,55 reviews,(415) 829-3159,http://kitchenwoori.com,"1545 Fillmore St,San Francisco, CA 94115,Ofarrell St & Geary Blvd,Western Addition"
a Mano,1341 reviews,(415) 506-7401,http://amanosf.com,"450 Hayes St,San Francisco, CA 94102,Octavia St & Gough St,Hayes Valley"
Uncle Tito,34 reviews,,http://www.uncletito.bar,"59 9th St,San Francisco, CA 94103,Jessie St & Market St,SoMa"
Savor,39 reviews,(415) 702-6048,https://savor.menu,"401 Irving St,San Francisco, CA 94122,6th Ave & 5th Ave,Inner Sunset"
Dinosaurs,947 reviews,(415) 503-1421,http://eatdinosaurs.com,"2275 Market St,San Francisco, CA 94114,Sanchez St & 16th St,Castro"
Breadbelly,398 reviews,(415) 349-0969,https://breadbellysf.com,"1408 Clement St,San Francisco, CA 94118,15th Ave & 16th Ave,Inner Richmond"
RT Rotisserie,128 reviews,,http://rtrotisserie.com,"302 Broderick St,San Francisco, CA 94117,Fell St & Oak St,Lower Haight"
Om Sabor,23 reviews,(831) 291-3773,https://omsabor.com,"370 Grove St,Phonobar,San Francisco, CA 94102,Gough St & Franklin St,Hayes Valley"
Foghorn Taproom,138 reviews,(628) 280-1792,https://www.foghorntaproom.com,"450 Balboa St,San Francisco, CA 94118,6th Ave & 5th Ave,Inner Richmond"
That's My Jam,28 reviews,,http://www.thatsmyjam324.com,"324 Divisadero St,San Francisco, CA 94117,Oak St & Page St,Lower Haight"
1428 HAIGHT Patio Cafe & Crepery,451 reviews,(415) 864-8484,http://www.1428haight.com,"1428 Haight St,San Francisco, CA 94117,Masonic Ave & Ashbury St,The Haight"
Oasis Grill,1308 reviews,(415) 781-0313,https://oasisgrill.com,"91 Drumm St,San Francisco, CA 94111,California St & Market St,Financial District"
Little Original Joe's,183 reviews,(415) 759-1155,http://www.littleoriginaljoes.…,"393 W Portal Ave,San Francisco, CA 94127,West Portal"
Cafe Okawari,230 reviews,(415) 801-5927,https://www.cafeokawari.com,"236 Townsend St,San Francisco, CA 94107,Clyde St & Ritch St,Mission Bay"
The Public Izakaya,68 reviews,(415) 658-7588,,"700 Post St,San Francisco, CA 94109,Leavenworth St & Jones St,Lower Nob Hill"
Alnico,337 reviews,(415) 757-0889,,"1050 Valencia St,San Francisco, CA 94110,Hill St & 22nd St,Mission"
Automat,140 reviews,(415) 296-6680,http://automatsf.com,"1801 McAllister St,San Francisco, CA 94115,Baker St & Lyon St,NoPa"
Burma Superstar,7215 reviews,(415) 387-2147,http://www.burmasuperstar.com/,"309 Clement St,San Francisco, CA 94118,5th Ave & 4th Ave,Inner Richmond"
Alimentari Aurora,17 reviews,,https://www.alimentariaurora.c…,"1415 18th St,San Francisco, CA 94107,Connecticut St & Missouri St,Potrero Hill"
Cafe Réveille,176 reviews,,https://www.cafereveille.com/l…,"201 Steiner St,San Francisco, CA 94117,Laussat St & Waller St,Lower Haight"
De Afghanan Kabob House,505 reviews,(415) 800-8024,https://deafghanansf.com,"321 Kearny St,San Francisco, CA 94108,Pine St & Bush St,Chinatown"
Hing Lung Company aka Go Duck Yourself,173 reviews,,,"1261 Stockton St,San Francisco, CA 94133,Broadway St & Stark St,Chinatown"
